Inwoner, huishouden en woninggegevens per postcode, peildatum 1 januari 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Definitieve gegevens, versie 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum: 17 februari 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Betekenis -99 997 =  '0 - 4 / geheim';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inwoners;;;;;;;;;;;Huishouden;;;;;;Woning;;;;;;;;;;;;;;;Sociale Zekerheid
;Totaal;Geslacht;;Leeftijdklassen;;;;;Herkomst;;;Totaal;Samenstelling;;;;Grootte;Totaal;Bouwperiode;;;;;;;;Type;;Eigendom;;In gebruik;Waarde;Totaal uitkeringen
Postcode;Totaal;Man;Vrouw;tot 15 jaar;15 tot 25 jaar;25 tot 45 jaar;45 tot 65 jaar;65 jaar en ouder;"Nederlandse
achtergond";"Westerse
migratie
achtergrond";"Niet-westerse
migratie
achtergrond";Totaal;Eenpersoons;"Meerpersoons 
zonder kinderen";Eenouder;Tweeouder;Huishoudgrootte;Totaal;voor 1945;1945 tot 1965;1965 tot 1975;1975 tot 1985;1985 tot 1995;1995 tot 2005;2005 tot 2015;2015 en later;Meergezins;Koopwoning;Huurwoning;Huurcoporatie;Niet bewoond;"WOZ-waarde
woning";"Personen met WW, Bijstand en/of AO uitkering
Beneden AOW-leeftijd"
1011EN;35;20;15;-99997;-99997;15;10;5;60;40;-99997;20;10;10;-99997;-99997;1,6;20;20;-99997;-99997;-99997;-99997;-99997;-99997;-99997;20;30;70;10;-99997;485;-99997
1011ER;15;10;5;-99997;-99997;-99997;5;-99997;80;-99997;-99997;5;-99997;-99997;-99997;-99997;2,3;10;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;602;-99997
1011ES;5;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1011ET;40;25;20;-99997;-99997;15;15;5;50;20;20;25;20;5;-99997;-99997;1,5;25;25;-99997;-99997;-99997;-99997;-99997;-99997;-99997;25;-99997;-99997;-99997;-99997;410;5
1011EV;10;5;5;-99997;-99997;5;-99997;-99997;50;-99997;-99997;5;-99997;-99997;-99997;-99997;2,0;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
1011EW;65;30;40;15;5;15;20;10;40;30;30;40;25;-99997;10;-99997;1,7;40;15;-99997;-99997;20;-99997;-99997;-99997;-99997;35;10;90;30;-99997;405;10
1011EX;50;20;30;10;10;20;10;-99997;50;30;20;25;15;5;-99997;-99997;1,9;30;20;-99997;-99997;5;-99997;-99997;-99997;-99997;30;20;80;10;-99997;428;5
1011EZ;15;10;5;-99997;-99997;5;-99997;-99997;70;-99997;-99997;5;-99997;-99997;-99997;-99997;1,9;5;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;550;-99997
1011GA;25;15;10;-99997;-99997;-99997;10;10;60;30;-99997;20;15;-99997;-99997;-99997;1,3;20;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;80;10;-99997;442;-99997
1011GB;5;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;1,4;10;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;692;-99997
1011GC;10;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;5;-99997;-99997;-99997;1,3;5;5;-99997;-99997;-99997;-99997;-99997;-99997;-99997;5;-99997;-99997;-99997;-99997;337;-99997
1011GD;85;45;40;5;10;25;35;10;60;30;10;50;30;10;-99997;5;1,6;50;10;-99997;-99997;-99997;-99997;40;-99997;-99997;45;30;70;30;-99997;442;10
1011GG;35;10;25;-99997;10;10;5;-99997;50;20;30;25;20;-99997;-99997;-99997;1,4;15;15;-99997;-99997;-99997;-99997;-99997;-99997;-99997;15;-99997;80;10;-99997;414;-99997
1011GH;30;15;15;-99997;-99997;10;15;-99997;70;20;-99997;20;15;5;-99997;-99997;1,5;20;15;-99997;-99997;5;-99997;-99997;-99997;-99997;20;-99997;80;10;-99997;379;-99997
