,buurtnaam,industrie,sport,x,y,lon,lat,gem_gas_woning,gem_gas_woning_cor,gem_elektriciteit_woning,gem_gas_bedrijf,gem_elektriciteit_bedrijf,potent_pand_asbest,gebouwen_gebruik_gas,meer_reg_woning,meer_reg_industrie,hoge_gas_verbruik,hoge_asbest_buurt,hoge_dichtheid_buurt,industrie_buurt,industriegebied,env_effect
273,Nieuw Sloten Noordoost,0.0,0.0,116037.2241055676,484659.584087491,4.815375098539406,52.34846266395517,979.0,1138.0,2644.0,17.0,54.0,4,1382,1352,0,0,0,1,0,0,1
274,Nieuw Sloten Noordwest,6.0,0.0,115375.67042707493,484523.43674456084,4.80568246821112,52.347191774794524,923.0,1071.0,2737.0,19.0,245.0,0,1231,1179,6,0,0,1,1,1,3
275,Nieuw Sloten Zuidoost,1.0,1.0,116139.19139106754,484218.7349629629,4.816922466982571,52.34450786819172,894.0,1038.0,2477.0,106.0,57.0,0,888,869,0,0,0,0,0,0,0
276,Nieuw Sloten Zuidwest,7.0,0.0,115423.56451111112,484136.4594748538,4.806430810690058,52.3437173631462,1025.0,1192.0,3058.0,43.0,1249.0,3,854,837,6,1,0,0,1,1,3
277,Nieuwe Diep/Diemerpark,5.0,1.0,127011.31366666667,485487.5958333334,4.97635803375,52.35657174062499,1116.0,1294.0,2364.0,0.0,13416.0,3,28,0,4,1,0,0,1,1,3
278,Nieuwe Kerk e.o.,15.0,0.0,121390.74373733804,487574.0230270907,4.893650661189635,52.37500917060071,734.0,852.0,1689.0,4389.0,34080.0,4,807,488,10,0,0,0,1,1,2
279,Nieuwe Meer,87.0,2.0,115869.81564864866,482692.851981982,4.813147011081081,52.33077511873874,0.0,0.0,0.0,0.0,11784.0,11,0,0,87,0,1,0,1,1,3
280,Nieuwe Oosterbegraafplaats,1.0,0.0,124419.96707692307,484139.0730769231,4.938445944615385,52.34431507153847,1662.0,1930.0,2972.0,17972.0,32100.0,0,13,0,0,1,0,0,0,0,1
281,Nieuwendammerdijk Oost,6.0,0.0,124835.72523999999,489096.92832666665,4.9441020442,52.388896036666665,1462.0,1699.0,3050.0,98.0,2177.0,29,150,120,5,1,1,0,1,1,4
282,Nieuwendammerdijk West,1.0,0.0,124025.1413117506,489399.2141990408,4.9321674040047965,52.39156756755396,1485.0,1725.0,3086.0,119.0,516.0,66,413,363,0,1,1,0,0,0,2
283,Nieuwendammerdijk Zuid,0.0,0.0,124494.9155,488996.7465,4.939105,52.38797687,0.0,0.0,0.0,770.0,6940.0,0,2,0,0,0,0,0,0,0,0
284,Nieuwendijk Noord,17.0,0.0,121564.15224440298,487765.962,4.896177979440298,52.37674477087686,847.0,983.0,1802.0,4073.0,30266.0,10,525,324,14,0,1,0,1,1,3
285,Nieuwmarkt,24.0,1.0,121948.84192131147,487192.4334254099,4.901883594311475,52.37161358845082,866.0,1006.0,1781.0,513.0,5356.0,45,1209,1031,17,0,1,1,1,1,4
286,Nintemanterrein,0.0,0.0,123503.5,490066.2,4.92444188575,52.3975323665,1291.0,1501.0,3893.0,0.0,14282.0,0,40,33,0,1,0,0,0,0,1
287,Noorder IJplas,0.0,0.0,119448.33333333333,493731.6666666667,4.864475003333333,52.43022684666666,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
288,Noorderstrook Oost,0.0,3.0,126178.8989,489871.3762,4.963765648,52.395928425,0.0,0.0,0.0,0.0,27405.0,1,0,0,0,0,0,0,0,0,0
289,Noorderstrook West,1.0,1.0,124822.5,491442.5,4.943696989999999,52.40997568,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
290,Noordoever Sloterplas,0.0,2.0,116802.42092486894,487399.57536691905,4.826293551945254,52.373141270762964,550.0,638.0,2023.0,14.0,314.0,1107,1613,1566,0,0,1,1,0,0,2
291,Noordoostkwadrant Indische buurt,15.0,1.0,124746.91214890967,486373.584952648,4.943042712299065,52.36441556387227,732.0,849.0,1715.0,174.0,1177.0,72,3102,2947,10,0,1,1,1,1,4
292,Noordwestkwadrant Indische buurt Noord,10.0,2.0,124228.60881316189,486420.6738097579,4.935429134667171,52.36480997470878,738.0,856.0,1843.0,286.0,2551.0,0,2643,2443,0,0,0,1,0,0,1
293,Noordwestkwadrant Indische buurt Zuid,33.0,0.0,124233.19328549324,486174.68963442935,4.935518941373308,52.36259948630948,749.0,869.0,1658.0,291.0,2976.0,5,2568,2374,25,0,0,1,1,1,3
294,Olympisch Stadion e.o.,17.0,1.0,118741.05229083968,484331.7228503817,4.855090903312977,52.3457011619542,120.0,140.0,2249.0,277.0,14952.0,9,258,1198,15,0,0,1,1,1,3
295,Ookmeer,0.0,17.0,115029.56120689654,487003.58437931037,4.800308468620689,52.36945627344828,0.0,0.0,89.0,0.0,78503.0,6,0,0,0,0,0,0,0,0,0
296,Oostelijke Handelskade,43.0,0.0,123427.75482670455,487722.06819886365,4.9235493554450755,52.37646056464962,917.0,1065.0,3048.0,951.0,80716.0,0,909,752,43,0,0,0,1,1,2
297,Oostenburg,31.0,7.0,123612.34995399999,487101.09250449995,4.92631825315,52.370890250955,370.0,430.0,991.0,166.0,1544.0,6,1035,1774,29,0,0,1,1,1,3
298,Oosterdokseiland,6.0,4.0,122310.33878486998,487728.0511607565,4.907139506193853,52.376448984042554,525.0,612.0,1981.0,1088.0,88436.0,1,351,266,5,0,0,0,1,1,2
299,Oosterpark,2.0,0.0,122987.05276271186,486057.9631525424,4.91723613118644,52.361479226525425,582.0,679.0,1132.0,5630.0,25113.0,3,118,87,2,0,0,0,1,1,2
300,Oosterparkbuurt Noordwest,38.0,4.0,122673.84510412415,485775.1955859535,4.91266540314414,52.35891956002042,711.0,825.0,1680.0,1119.0,16312.0,36,2443,2239,32,0,1,1,1,1,4
301,Oosterparkbuurt Zuidoost,52.0,1.0,123303.93981146438,485652.6625163457,4.921926274639499,52.357855015064935,801.0,929.0,1877.0,466.0,1270.0,198,2199,2013,44,0,1,1,1,1,4
302,Oosterparkbuurt Zuidwest,24.0,3.0,122857.80203573279,485481.3397617815,4.91539382042465,52.356289366773694,734.0,852.0,1738.0,147.0,3177.0,62,1925,1761,18,0,1,1,1,1,4
303,Oostoever Sloterplas,0.0,0.0,117086.35346989051,486651.25039142335,4.830547251104014,52.366435668877735,952.0,1106.0,2597.0,0.0,319.0,0,1081,1066,0,0,0,1,0,0,1
304,Oostpoort,4.0,3.0,123911.57307912457,485621.2021978114,4.930848582727273,52.357606990858585,671.0,779.0,1903.0,3103.0,19019.0,44,1120,1044,0,0,1,1,0,0,2
305,Oostzanerdijk,12.0,1.0,121040.82473953487,492262.70603255817,4.888037632744187,52.41712573334884,975.0,1134.0,2256.0,466.0,3772.0,17,205,130,9,0,1,0,1,1,3
306,Orteliusbuurt Midden,8.0,0.0,118438.71389042278,486848.5711035376,4.850380587748059,52.368300736212255,742.0,862.0,1668.0,117.0,1301.0,0,1159,1110,7,0,0,1,1,1,3
307,Orteliusbuurt Noord,1.0,0.0,118321.0570440806,487173.86829596973,4.848617629949622,52.371216419030226,770.0,891.0,1704.0,610.0,684.0,0,794,781,1,0,0,0,1,0,1
