openbareruimte;huisnummer;huisletter;huisnummertoevoeging;postcode;woonplaats;gemeente;provincie;nummeraanduiding;verblijfsobjectgebruiksdoel;oppervlakteverblijfsobject;verblijfsobjectstatus;object_id;object_type;nevenadres;pandid;pandstatus;pandbouwjaar;x;y;lon;lat;verkorteopenbareruimte
Rijk Takkenlaan;9;;;3984BS;Odijk;Bunnik;Utrecht;0312200000004689;woonfunctie;89;Verblijfsobject in gebruik;0312010000004848;VBO;f;0312100000005552;Pand in gebruik;1993;144096;451828;5.2282254392827;52.0546512648107;
Broekdijksestraat;1;;;4054NJ;Echteld;Neder-Betuwe;Gelderland;1740200000102288;woonfunctie;397;Verblijfsobject in gebruik;1740010000014237;VBO;f;1740100000013094;Pand in gebruik;1900;161271;436244;5.47834731454264;51.9146512648069;
Koningin Wilhelminastraat;47;;;4241AW;Arkel;Molenlanden;Zuid-Holland;0689200000001148;woonfunctie;91;Verblijfsobject in gebruik;0689010000000865;VBO;f;0689100000008355;Pand in gebruik;1957;128075.956;430931.607;4.99629926512645;51.866287347081;Koningin Wilhelminastr
's Gravenmeet;49;;;4328PG;Burgh-Haamstede;Schouwen-Duiveland;Zeeland;1676200000478369;woonfunctie;93;Verblijfsobject in gebruik;1676010000478370;VBO;f;1676100000448750;Pand in gebruik;1995;40684.418;412394.629;3.73391182955189;51.6886512644403;
Oude Zandweg;3;;;4361SK;Westkapelle;Veere;Zeeland;0717200000124227;industriefunctie;130;Verblijfsobject in gebruik;0717010000013398;VBO;f;0717100000022219;Pand in gebruik;2006;19761.117;395640.494;3.43794624543255;51.5334651264663;
Sint Sebastiaanstraat;12;;;4527HC;Aardenburg;Sluis;Zeeland;1714200000805867;woonfunctie;192;Verblijfsobject in gebruik;1714010000805868;VBO;f;1714100000805866;Pand in gebruik (niet ingemeten);2018;18889.264;366772.159;3.43651264143508;51.2738886392157;
Geulstraat;76;;;4535CZ;Terneuzen;Terneuzen;Zeeland;0715200000004819;woonfunctie;115;Verblijfsobject in gebruik;0715010000004819;VBO;f;0715100000024296;Pand in gebruik;1976;48314.996;370496.77;3.85694976512641;51.3136621161758;
Bedrijvenstraat;11;;;4543NZ;Zaamslag;Terneuzen;Zeeland;0715200000034531;industriefunctie;95;Verblijfsobject in gebruik;0715010000034531;VBO;f;0715100000039853;Pand in gebruik;1980;51944.104;370624.02;3.90895065126416;51.3154779258495;
Rijtuigweg-Zuid;15;;;4611WP;Bergen op Zoom;Bergen op Zoom;Noord-Brabant;0748200000003429;woonfunctie;59;Verblijfsobject in gebruik;0748010000003429;VBO;f;0748100000000668;Pand in gebruik;1982;78288.8;390455;4.28245689211187;51.4978891651264;
Mosselbank;15;g;;4761HA;Zevenbergen;Moerdijk;Noord-Brabant;1709200000444083;overige gebruiksfunctie;18;Verblijfsobject in gebruik;1709010000003195;VBO;f;1709100000044543;Pand in gebruik;1968;100423.38;407232.555;4.59857484761263;51.6512644419195;
Ruusbroecstraat;8;;;4819GE;Breda;Breda;Noord-Brabant;0758200000013574;overige gebruiksfunctie;16;Verblijfsobject in gebruik;0758010000043884;VBO;f;0758100000046301;Pand in gebruik;1961;111879;398889;4.76512649226652;51.5772695870717;
Beiaard;107;;;4876CC;Etten-Leur;Etten-Leur;Noord-Brabant;0777200000160076;woonfunctie;111;Verblijfsobject in gebruik;0777010000160077;VBO;f;0777100000148140;Pand in gebruik;1972;102888.37;397435.64;4.63565126429194;51.5634449353314;
Dolium;7;;;4906LZ;Oosterhout;Oosterhout;Noord-Brabant;0826200000030856;woonfunctie;228;Verblijfsobject in gebruik;0826010000030506;VBO;f;0826100000037340;Pand in gebruik;2017;116024.414;407087.721;4.82401199725054;51.6512642163955;
Marie Baronstraat;15;;;5026CG;Tilburg;Tilburg;Noord-Brabant;0855200000116903;woonfunctie;139;Verblijfsobject in gebruik;0855010000117264;VBO;f;0855100000706627;Pand in gebruik;2017;132763.595;394610.094;5.06667801651264;51.5400232448248;
Fazantenpad;8;;;5076SH;Haaren;Haaren;Noord-Brabant;0788200000001849;logiesfunctie;60;Verblijfsobject in gebruik;0788010000004875;VBO;f;0788100000005703;Pand in gebruik;2002;145396.347;403198.392;5.24853465126442;51.6175770887113;
Hoge Ham;121;;;5104JD;Dongen;Dongen;Noord-Brabant;0766200000003543;kantoorfunctie;355;Verblijfsobject in gebruik;0766010000003543;VBO;f;0766100000007309;Pand in gebruik;1904;124197.087;404337.475;4.94234441318038;51.6270526512641;
Rector van den Broekstraat;6;c;;5111VT;Baarle-Nassau;Baarle-Nassau;Noord-Brabant;0744200000004312;woonfunctie;138;Verblijfsobject in gebruik;0744010000004300;VBO;f;0744100000007587;Pand in gebruik;2015;123176.058;384074.768;4.92943695651264;51.4448667469974;Rect van den Broekstraat
César Francklaan;10;;;5144WG;Waalwijk;Waalwijk;Noord-Brabant;0867200000027323;woonfunctie;87;Verblijfsobject in gebruik;0867010000002789;VBO;f;0867100000013696;Pand in gebruik;1977;132722;409552;5.06512643538148;51.6743261354782;
Laan van Tasmanië;267;;;5152HW;Drunen;Heusden;Noord-Brabant;0797200000825659;woonfunctie;84;Verblijfsobject in gebruik;0797010000056689;VBO;f;0797100000029693;Pand in gebruik;2011;136359.72;410775.303;5.11765126442697;51.6854544857143;
Haverdonklaan;6;;;5223VG;'s-Hertogenbosch;'s-Hertogenbosch;Noord-Brabant;0796200000432607;woonfunctie;77;Verblijfsobject in gebruik;0796010000432606;VBO;f;0796100000432429;Pand in gebruik;2018;147390.443;411035.059;5.27715651264376;51.6880476110336;
Hoogstraat;8;;;5261TH;Vught;Vught;Noord-Brabant;0865200000003584;woonfunctie;65;Verblijfsobject in gebruik;0865010000007843;VBO;f;0865100000009524;Pand in gebruik;1939;148759.527;406940.926;5.29702864537471;51.6512643925112;
Teugenaarsstraat;2;;;5348JD;Oss;Oss;Noord-Brabant;0828200001534709;woonfunctie;163;Verblijfsobject in gebruik;0828010001534710;VBO;f;0828100001473983;Pand in gebruik;1935;164908.152;420085.279;5.5307465126424;51.7693586055272;
