,perceelid,perceeltype,huisnr,huisnr_bag_letter,huisnr_bag_toevoeging,bag_nummeraanduidingid,bag_adresseerbaarobjectid,lat,lon,rdx,rdy,oppervlakte,gebruiksdoel,reeksid
308999,310085,verblijfsobject,28,,4,363200000200249.0,363010000739318.0,52.35044823,4.90250159,121975.0,484837.0,48,woonfunctie,14658
309000,310086,verblijfsobject,28,,H,363200000200246.0,363010000739315.0,52.35044823,4.90250159,121975.0,484837.0,49,woonfunctie,14658
309001,310087,verblijfsobject,30,,1,363200000200255.0,363010000739320.0,52.35038543,4.90253163,121977.0,484830.0,53,woonfunctie,14658
309002,310088,verblijfsobject,30,,2,363200000200256.0,363010000739321.0,52.35038543,4.90253163,121977.0,484830.0,65,woonfunctie,14658
309003,310089,verblijfsobject,30,,4,363200000200257.0,363010000739322.0,52.35038543,4.90253163,121977.0,484830.0,46,woonfunctie,14658
309004,310090,verblijfsobject,30,,H,363200000200254.0,363010000739319.0,52.35038543,4.90253163,121977.0,484830.0,53,woonfunctie,14658
309005,310091,verblijfsobject,32,,1,363200000459369.0,363010000739340.0,52.35032258,4.90254699,121978.0,484823.0,68,woonfunctie,14658
309006,310092,verblijfsobject,32,,2,363200000459370.0,363010000739341.0,52.35032258,4.90254699,121978.0,484823.0,78,woonfunctie,14658
309007,310093,verblijfsobject,32,,4,363200000459371.0,363010000739342.0,52.35032258,4.90254699,121978.0,484823.0,61,woonfunctie,14658
309008,310094,verblijfsobject,32,,H,363200000459368.0,363010000959309.0,52.35032258,4.90254699,121978.0,484823.0,1,woonfunctie,14658
309009,310095,verblijfsobject,34,,1,363200000200268.0,363010000739344.0,52.35024182,4.90257723,121980.0,484814.0,68,woonfunctie,14659
309010,310096,verblijfsobject,34,,2,363200000200269.0,363010000739345.0,52.35024182,4.90257723,121980.0,484814.0,78,woonfunctie,14659
309011,310097,verblijfsobject,34,,4,363200000200270.0,363010000739346.0,52.35024182,4.90257723,121980.0,484814.0,61,woonfunctie,14659
309012,310098,verblijfsobject,34,,H,363200000200267.0,363010000739343.0,52.35024182,4.90257723,121980.0,484814.0,64,woonfunctie,14659
309013,310099,verblijfsobject,36,,1,363200000200273.0,363010000739348.0,52.35017004,4.90260737,121982.0,484806.0,53,woonfunctie,14659
309014,310100,verblijfsobject,36,,2,363200000200274.0,363010000739349.0,52.35017004,4.90260737,121982.0,484806.0,65,woonfunctie,14659
309015,310101,verblijfsobject,36,,4,363200000200275.0,363010000739350.0,52.35017004,4.90260737,121982.0,484806.0,50,woonfunctie,14659
