,BuurtCode,InwonersTotaal,Leeftijd 0-15,% Leeftijd 0-15,Leeftijd 65+,% Leeftijd 65+,GemiddeldeHuishoudensgrootte,Bevolkingsdichtheid
419,BU03637301,630,150,23.809523809523807,105,16.666666666666664,     2.4,     956
420,BU03637302,5,0,0.0,5,100.0,     3.0,       .
421,BU03637303,520,110,21.153846153846153,95,18.269230769230766,     2.6,     204
422,BU03637304,20,5,25.0,5,25.0,     2.8,      14
423,BU03637305,320,60,18.75,80,25.0,     2.4,     182
424,BU03637306,290,60,20.689655172413794,65,22.413793103448278,     2.6,      38
425,BU03637307,480,75,15.625,105,21.875,     2.3,      57
426,BU03637308,60,5,8.333333333333332,5,8.333333333333332,     1.2,      64
427,BU03637309,5,0,0.0,5,100.0,     2.7,       .
429,BU03637400,125,40,32.0,20,16.0,     3.2,    3232
430,BU03637401,825,50,6.0606060606060606,30,3.6363636363636362,     1.2,    2757
431,BU03637402,2900,800,27.586206896551722,210,7.241379310344828,     2.6,    6073
433,BU03637500,2220,285,12.837837837837837,210,9.45945945945946,     1.9,   23095
434,BU03637501,1075,135,12.558139534883722,80,7.441860465116279,     1.7,   25776
